month_year,country,value
2023-11,Malaysia,17.0
2023-11,Myanmar,1.0
2023-11,Philippines,13.0
2023-11,Singapore,51.0
2023-11,Thailand,25.0
2023-11,Vietnam,15.000000000000002
2023-12,Cambodia,3.0
2023-12,Indonesia,16.0
2023-12,Malaysia,21.0
2023-12,Myanmar,1.0
2023-12,Philippines,12.0
2023-12,Singapore,49.0
2023-12,Thailand,24.0
2023-12,Vietnam,15.0
2024-01,Cambodia,3.0
2024-01,Indonesia,17.0
2024-01,Malaysia,21.0
2024-01,Myanmar,0.9999999999999999
2024-01,Philippines,15.0
2024-01,Singapore,51.0
2024-01,Thailand,31.0
2024-01,Vietnam,18.0
2024-02,Cambodia,3.0
2024-02,Indonesia,15.0
2024-02,Malaysia,18.0
2024-02,Myanmar,0.9999999999999999
2024-02,Philippines,14.0
2024-02,Singapore,49.0
2024-02,Thailand,27.0
2024-02,Vietnam,15.0
2024-03,Cambodia,3.0
2024-03,Indonesia,16.0
2024-03,Malaysia,34.0
2024-03,Myanmar,1.0
2024-03,Philippines,13.0
2024-03,Singapore,56.00000000000001
2024-03,Thailand,26.0
2024-03,Vietnam,17.0
2024-04,Cambodia,3.0
2024-04,Indonesia,15.000000000000002
2024-04,Malaysia,16.0
2024-04,Myanmar,1.0
2024-04,Philippines,13.000000000000002
2024-04,Singapore,49.0
2024-04,Thailand,25.0
2024-04,Vietnam,16.0
2024-05,Cambodia,3.0
2024-05,Indonesia,16.0
2024-05,Malaysia,20.0
2024-05,Myanmar,1.0
2024-05,Philippines,12.0
2024-05,Singapore,51.0
2024-05,Thailand,25.0
2024-05,Vietnam,14.0
2024-06,Cambodia,3.0
2024-06,Indonesia,17.0
2024-06,Malaysia,21.0
2024-06,Myanmar,1.0
2024-06,Philippines,13.0
2024-06,Singapore,52.0
2024-06,Thailand,23.0
2024-06,Vietnam,15.0
2024-07,Cambodia,1.9999999999999998
2024-07,Indonesia,14.999999999999998
2024-07,Malaysia,20.0
2024-07,Myanmar,0.9999999999999999
2024-07,Philippines,13.0
2024-07,Singapore,52.0
2024-07,Thailand,27.0
2024-07,Vietnam,14.999999999999998
2024-08,Cambodia,3.0
2024-08,Indonesia,16.0
2024-08,Malaysia,19.0
2024-08,Myanmar,1.0
2024-08,Philippines,12.0
2024-08,Singapore,50.0
2024-08,Thailand,24.0
2024-08,Vietnam,16.0
2024-09,Cambodia,3.0
2024-09,Indonesia,18.0
2024-09,Malaysia,22.0
2024-09,Myanmar,1.0
2024-09,Philippines,13.0
2024-09,Singapore,51.0
2024-09,Thailand,26.0
2024-09,Vietnam,17.0
2024-10,Cambodia,3.0
2024-10,Indonesia,14.999999999999998
2024-10,Malaysia,18.0
2024-10,Myanmar,1.0
2024-10,Philippines,12.0
2024-10,Singapore,51.0
2024-10,Thailand,25.0
2024-10,Vietnam,16.0
2024-11,Cambodia,3.0
2024-11,Indonesia,14.0
2024-11,Malaysia,18.0
2024-11,Myanmar,1.0
2024-11,Philippines,12.0
2024-11,Singapore,51.0
2024-11,Thailand,28.0
2024-11,Vietnam,17.0
2024-12,Cambodia,3.0
2024-12,Indonesia,14.0
2024-12,Malaysia,19.0
2024-12,Myanmar,0.9999999999999999
2024-12,Philippines,12.0
2024-12,Singapore,54.0
2024-12,Thailand,29.0
2024-12,Vietnam,17.0
2025-01,Cambodia,3.0
2025-01,Indonesia,15.0
2025-01,Malaysia,20.0
2025-01,Myanmar,1.0
2025-01,Philippines,15.0
2025-01,Singapore,60.0
2025-01,Thailand,67.0
2025-01,Vietnam,54.0
2025-02,Cambodia,3.0
2025-02,Indonesia,13.0
2025-02,Malaysia,18.0
