YearMonth,Currency,AverageRate
2022-12,PHP,55.556730387994946
2022-12,SGD,1.3535516835922516
2022-12,THB,34.85995764842254
2022-12,VND,23730.153778443928
2023-01,BND,1.324969662200287
2023-01,IDR,15253.52423439628
2023-01,KHR,4098.541699900602
2023-01,LAK,16948.475967132552
2023-01,MMK,2098.3372069260918
2023-01,MYR,4.332862144000984
2023-01,PHP,54.86721750919979
2023-01,SGD,1.324969662200287
2023-01,THB,33.31643291848476
2023-01,VND,23543.820431234464
2023-02,BND,1.3350287438110455
2023-02,IDR,15204.033737867914
2023-02,KHR,4084.240819596089
2023-02,LAK,16900.732004214136
2023-02,MMK,2098.862979616436
2023-02,MYR,4.380079251898121
2023-02,PHP,54.85225068620643
2023-02,SGD,1.3350287438110455
2023-02,THB,34.25193663905381
2023-02,VND,23612.957837384958
2023-03,BND,1.3406569859137827
2023-03,IDR,15293.335731748652
2023-03,KHR,4027.084423534971
2023-03,LAK,16835.45732354287
2023-03,MMK,2094.554287432514
2023-03,MYR,4.4747984228393864
2023-03,PHP,54.66714491484274
2023-03,SGD,1.3406569859137827
2023-03,THB,34.38234064254044
2023-03,VND,23557.892085692798
2023-04,BND,1.3322709876648913
2023-04,IDR,14939.8354413697
2023-04,KHR,4065.628221841211
2023-04,LAK,17157.195075469455
2023-04,MMK,2099.448609214475
2023-04,MYR,4.422436887648604
2023-04,PHP,55.00837199734868
2023-04,SGD,1.3322709876648913
2023-04,THB,34.330123366416665
2023-04,VND,23429.367522646648
2023-05,BND,1.339589237736299
2023-05,IDR,14807.452923108407
2023-05,KHR,4111.115596402518
2023-05,LAK,17519.698516359327
2023-05,MMK,2098.835288582129
2023-05,MYR,4.507709238573011
2023-05,PHP,55.74212178159841
2023-05,SGD,1.339589237736299
2023-05,THB,34.222602891269034
2023-05,VND,23456.785662988397
2023-06,BND,1.3468876090887658
2023-06,IDR,14938.321553626356
2023-06,KHR,4120.531405875326
2023-06,LAK,18276.29537513563
2023-06,MMK,2098.4231683443777
2023-06,MYR,4.623071312530229
2023-06,PHP,55.92779796782543
2023-06,SGD,1.3468876090887658
2023-06,THB,34.857222968147944
2023-06,VND,23417.39096103552
2023-07,BND,1.3352986797151074
2023-07,IDR,15064.51059502805
2023-07,KHR,4122.16582734262
2023-07,LAK,19061.7680782483
2023-07,MMK,2095.879463704764
2023-07,MYR,4.59984558284044
2023-07,PHP,54.91719707514564
2023-07,SGD,1.3352986797151074
2023-07,THB,34.650169823296025
2023-07,VND,23658.932933217427
2023-08,BND,1.3525830031451138
2023-08,IDR,15279.365805777848
2023-08,KHR,4131.592908587202
2023-08,LAK,19325.43679713277
2023-08,MMK,2095.618001661457
2023-08,MYR,4.609593481312258
2023-08,PHP,56.482996465484185
2023-08,SGD,1.3525830031451138
2023-08,THB,35.14209960183183
2023-08,VND,23852.947864514987
2023-09,BND,1.3612760999152018
2023-09,IDR,15338.201361440684
2023-09,KHR,4134.167832782006
2023-09,LAK,19883.10073537689
2023-09,MMK,2098.8620861716563
2023-09,MYR,4.675280781236136
2023-09,PHP,56.721259951258695
2023-09,SGD,1.3612760999152018
2023-09,THB,35.653588208705564
2023-09,VND,24204.299140506635
2023-10,BND,1.3682796509927893
2023-10,IDR,15741.575815206405
2023-10,KHR,4123.157698914667
2023-10,LAK,20622.014010239312
2023-10,MMK,2098.495055583401
2023-10,MYR,4.737976195923281
2023-10,PHP,56.80062017898649
2023-10,SGD,1.3682796509927893
2023-10,THB,36.49660253462367
2023-10,VND,24465.190599819427
2023-11,BND,1.3462128520351768
2023-11,IDR,15530.643768187385
2023-11,KHR,4114.041757610747
2023-11,LAK,20749.28202357241
2023-11,MMK,2095.0912116006225
2023-11,MYR,4.674092154971199
2023-11,PHP,55.6974121804125
2023-11,SGD,1.3462128520351768
2023-11,THB,35.4209544719085
2023-11,VND,24311.04543908578
2023-12,BND,1.3351930861441899
2023-12,IDR,15533.35699742129
2023-12,KHR,4111.5655904559
2023-12,LAK,20642.363900196913
2023-12,MMK,2101.0915838957953
2023-12,MYR,4.6664934866884735
2023-12,PHP,55.535164817181055
2023-12,SGD,1.3351930861441899
2023-12,THB,35.16662810168964
2023-12,VND,24333.784222316357
2024-01,BND,1.3330599426161573
2024-01,IDR,15584.758465072922
2024-01,KHR,4086.0166790899057
2024-01,LAK,20651.459219978144
2024-01,MMK,2098.935539287893
2024-01,MYR,4.673488477799262
2024-01,PHP,55.9186958194861
2024-01,SGD,1.3330599426161573
2024-01,THB,35.0721605718464
2024-01,VND,24491.42330859988
2024-02,BND,1.3457839435351553
2024-02,IDR,15656.48141163247
2024-02,KHR,4073.286884360844
2024-02,LAK,20826.32491489903
2024-02,MMK,2102.710544789853
2024-02,MYR,4.770664391593723
2024-02,PHP,56.1039019010234
2024-02,SGD,1.3457839435351553
2024-02,THB,35.93427306141459
2024-02,VND,24471.738158843036
2024-03,BND,1.3396449645519746
2024-03,IDR,15686.954585265921
2024-03,KHR,4051.680582221123
2024-03,LAK,20885.429695450814
2024-03,MMK,2097.748725880815
2024-03,MYR,4.713621134356034
